experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration,actual_rtf,time_wall_actual_s,time_wall_actual_min
10,dstar_social,succeeded,0,32.61,100.39,6,8,1,0.39,0.2264,0.951,105.56,1.76
11,dstar_social,succeeded,0,33.14,94.32,11,12,5,0.166,0.2071,0.951,99.18,1.65
12,dstar_social,succeeded,0,33.169,127.11,11,15,5,0.03,0.1788,0.951,133.66,2.23
13,dstar_social,succeeded,1,39.325,101.03,6,11,3,0.054,0.1932,0.951,106.24,1.77
14,dstar_social,succeeded,0,32.735,116.24,9,12,7,0.09,0.1596,0.951,122.23,2.04
15,dstar_social,succeeded,0,32.43,80.72,6,7,0,0.487,0.1675,0.951,84.88,1.41
16,dstar_social,succeeded,0,33.09,92.49,9,10,6,0.061,0.1935,0.951,97.26,1.62
17,dstar_social,succeeded,0,32.495,79.81,4,8,1,0.389,0.1595,0.951,83.92,1.40
18,dstar_social,succeeded,1,36.364,92.68,9,11,2,0.067,0.1851,0.951,97.46,1.62
19,dstar_social,succeeded,0,32.617,81.12,6,7,0,0.473,0.1677,0.951,85.30,1.42
20,dstar_social,succeeded,0,32.843,89.85,7,11,17,0.275,0.1984,0.951,94.48,1.57
21,dstar_social,succeeded,0,32.455,100.84,7,11,6,0.063,0.1698,0.951,106.04,1.77
22,dstar_social,succeeded,0,32.895,82.17,7,8,2,0.283,0.1847,0.951,86.40,1.44
23,dstar_social,succeeded,0,33.86,99.29,6,8,6,0.085,0.2121,0.951,104.41,1.74
24,dstar_social,succeeded,0,32.679,102.74,8,14,6,0.063,0.1845,0.951,108.03,1.80
25,dstar_social,timeout,0,26.038,297.81,15,53,6,0.128,0.1156,0.951,313.15,5.22
