[INFO] [1777714916.728106576] [data_collector]: DataCollector ready  mode=dynamic  encounter=1.00m  personal=1.20m  intimate=0.45m
[INFO] [1777714916.728580692] [data_collector]: Results CSV: /home/dx/CPE631-Navigation-ROS2-main/dynamic_4groups_headless_10.csv

Commands: [s] start  [e] end  [1] social  [2] baseline  [3] dynamic  [q] quit
cmd> [INFO] [1777714921.905444621] [data_collector]: Started experiment [dynamic]
[WARN] [1777714921.968463891] [data_collector]: Personal space violation (<1.20m) +1, total=1
[INFO] [1777714922.914984209] [data_collector]: Encounter (<1.0m) +1, total=1
[WARN] [1777714952.033937762] [data_collector]: Personal space violation (<1.20m) +1, total=2
[INFO] [1777714952.190709334] [data_collector]: Encounter (<1.0m) +1, total=2
[WARN] [1777714952.961815823] [data_collector]: Intimate space violation (<0.45m) +1, total=1
[WARN] [1777714963.771665602] [data_collector]: Personal space violation (<1.20m) +1, total=3
[INFO] [1777714963.945816783] [data_collector]: Encounter (<1.0m) +1, total=3
[WARN] [1777714964.976333333] [data_collector]: Intimate space violation (<0.45m) +1, total=2
[WARN] [1777714978.663709243] [data_collector]: Personal space violation (<1.20m) +1, total=4
[INFO] [1777714978.988159219] [data_collector]: Encounter (<1.0m) +1, total=4
[WARN] [1777714983.446306989] [data_collector]: Personal space violation (<1.20m) +1, total=5
[WARN] [1777714983.765379426] [data_collector]: Personal space violation (<1.20m) +1, total=6
[WARN] [1777714983.930279722] [data_collector]: Personal space violation (<1.20m) +1, total=7
[WARN] [1777714987.598496821] [data_collector]: Personal space violation (<1.20m) +1, total=8
[INFO] [1777714988.207335603] [data_collector]: Encounter (<1.0m) +1, total=5
[WARN] [1777714989.204586783] [data_collector]: Intimate space violation (<0.45m) +1, total=3
[WARN] [1777714989.401566038] [data_collector]: Intimate space violation (<0.45m) +1, total=4
[WARN] [1777714989.698285932] [data_collector]: Intimate space violation (<0.45m) +1, total=5
[WARN] [1777714997.383224116] [data_collector]: Personal space violation (<1.20m) +1, total=9
[INFO] [1777714997.736819527] [data_collector]: Encounter (<1.0m) +1, total=6
[WARN] [1777714999.269708142] [data_collector]: Intimate space violation (<0.45m) +1, total=6
[WARN] [1777715004.504589554] [data_collector]: Personal space violation (<1.20m) +1, total=10
[INFO] [1777715004.678913114] [data_collector]: Encounter (<1.0m) +1, total=7
[WARN] [1777715006.054687460] [data_collector]: Intimate space violation (<0.45m) +1, total=7
[WARN] [1777715014.526634082] [data_collector]: Personal space violation (<1.20m) +1, total=11
[INFO] [1777715014.877867966] [data_collector]: Encounter (<1.0m) +1, total=8
[WARN] [1777715016.027319410] [data_collector]: Intimate space violation (<0.45m) +1, total=8
[WARN] [1777715020.737167359] [data_collector]: Personal space violation (<1.20m) +1, total=12
[INFO] [1777715021.218473187] [data_collector]: Encounter (<1.0m) +1, total=9
[WARN] [1777715022.560738468] [data_collector]: Intimate space violation (<0.45m) +1, total=9
[WARN] [1777715031.706959826] [data_collector]: Personal space violation (<1.20m) +1, total=13
[INFO] [1777715032.307698542] [data_collector]: Encounter (<1.0m) +1, total=10
[WARN] [1777715033.409764674] [data_collector]: Intimate space violation (<0.45m) +1, total=10
[WARN] [1777715037.975070955] [data_collector]: Personal space violation (<1.20m) +1, total=14
[INFO] [1777715038.575540279] [data_collector]: Encounter (<1.0m) +1, total=11
[WARN] [1777715040.075261491] [data_collector]: Intimate space violation (<0.45m) +1, total=11
[WARN] [1777715047.601862802] [data_collector]: Personal space violation (<1.20m) +1, total=15
[INFO] [1777715047.961189603] [data_collector]: Encounter (<1.0m) +1, total=12
[WARN] [1777715049.039756165] [data_collector]: Intimate space violation (<0.45m) +1, total=12
[WARN] [1777715053.693686954] [data_collector]: Personal space violation (<1.20m) +1, total=16
[INFO] [1777715054.077476386] [data_collector]: Encounter (<1.0m) +1, total=13
[WARN] [1777715055.752121498] [data_collector]: Intimate space violation (<0.45m) +1, total=13
[WARN] [1777715063.667967517] [data_collector]: Personal space violation (<1.20m) +1, total=17
[INFO] [1777715064.231294948] [data_collector]: Encounter (<1.0m) +1, total=14
[WARN] [1777715065.239555808] [data_collector]: Intimate space violation (<0.45m) +1, total=14
[WARN] [1777715069.327895347] [data_collector]: Personal space violation (<1.20m) +1, total=18
[INFO] [1777715069.929251366] [data_collector]: Encounter (<1.0m) +1, total=15
[WARN] [1777715071.461513792] [data_collector]: Intimate space violation (<0.45m) +1, total=15
[WARN] [1777715080.264934243] [data_collector]: Personal space violation (<1.20m) +1, total=19
[INFO] [1777715080.679917011] [data_collector]: Encounter (<1.0m) +1, total=16
[WARN] [1777715081.756714845] [data_collector]: Intimate space violation (<0.45m) +1, total=16
[WARN] [1777715085.923308924] [data_collector]: Personal space violation (<1.20m) +1, total=20
[INFO] [1777715086.619175428] [data_collector]: Encounter (<1.0m) +1, total=17
[WARN] [1777715088.053577656] [data_collector]: Intimate space violation (<0.45m) +1, total=17
[WARN] [1777715097.186012672] [data_collector]: Personal space violation (<1.20m) +1, total=21
[INFO] [1777715097.544887760] [data_collector]: Encounter (<1.0m) +1, total=18
[WARN] [1777715098.918140141] [data_collector]: Intimate space violation (<0.45m) +1, total=18
[WARN] [1777715103.067251427] [data_collector]: Personal space violation (<1.20m) +1, total=22
[INFO] [1777715103.446939380] [data_collector]: Encounter (<1.0m) +1, total=19
[WARN] [1777715104.669228866] [data_collector]: Intimate space violation (<0.45m) +1, total=19
[WARN] [1777715113.442862673] [data_collector]: Personal space violation (<1.20m) +1, total=23
[INFO] [1777715113.915148555] [data_collector]: Encounter (<1.0m) +1, total=20
[WARN] [1777715115.000162637] [data_collector]: Intimate space violation (<0.45m) +1, total=20
[WARN] [1777715119.612758969] [data_collector]: Personal space violation (<1.20m) +1, total=24
[INFO] [1777715119.992710174] [data_collector]: Encounter (<1.0m) +1, total=21
[WARN] [1777715121.181957862] [data_collector]: Intimate space violation (<0.45m) +1, total=21
[WARN] [1777715130.416226312] [data_collector]: Personal space violation (<1.20m) +1, total=25
[INFO] [1777715130.772556045] [data_collector]: Encounter (<1.0m) +1, total=22
[WARN] [1777715131.761698921] [data_collector]: Intimate space violation (<0.45m) +1, total=22
[WARN] [1777715137.140396109] [data_collector]: Personal space violation (<1.20m) +1, total=26
[INFO] [1777715137.639294851] [data_collector]: Encounter (<1.0m) +1, total=23
[WARN] [1777715138.736228301] [data_collector]: Intimate space violation (<0.45m) +1, total=23
[WARN] [1777715146.745892206] [data_collector]: Personal space violation (<1.20m) +1, total=27
[INFO] [1777715147.349005801] [data_collector]: Encounter (<1.0m) +1, total=24
[WARN] [1777715148.497582005] [data_collector]: Intimate space violation (<0.45m) +1, total=24
[WARN] [1777715152.274140315] [data_collector]: Personal space violation (<1.20m) +1, total=28
[INFO] [1777715152.919025780] [data_collector]: Encounter (<1.0m) +1, total=25
[WARN] [1777715154.083015237] [data_collector]: Intimate space violation (<0.45m) +1, total=25
[WARN] [1777715162.395388914] [data_collector]: Personal space violation (<1.20m) +1, total=29
[INFO] [1777715162.776648294] [data_collector]: Encounter (<1.0m) +1, total=26
[WARN] [1777715164.071672268] [data_collector]: Intimate space violation (<0.45m) +1, total=26
[WARN] [1777715168.973182663] [data_collector]: Personal space violation (<1.20m) +1, total=30
[INFO] [1777715169.491957548] [data_collector]: Encounter (<1.0m) +1, total=27
[WARN] [1777715170.539192084] [data_collector]: Intimate space violation (<0.45m) +1, total=27
[WARN] [1777715178.815069920] [data_collector]: Personal space violation (<1.20m) +1, total=31
[INFO] [1777715179.430727404] [data_collector]: Encounter (<1.0m) +1, total=28
[WARN] [1777715180.361868444] [data_collector]: Intimate space violation (<0.45m) +1, total=28
[WARN] [1777715184.401968626] [data_collector]: Personal space violation (<1.20m) +1, total=32
[INFO] [1777715184.978386217] [data_collector]: Encounter (<1.0m) +1, total=29
[WARN] [1777715186.283555445] [data_collector]: Intimate space violation (<0.45m) +1, total=29
[WARN] [1777715194.848945546] [data_collector]: Personal space violation (<1.20m) +1, total=33
[INFO] [1777715195.370216896] [data_collector]: Encounter (<1.0m) +1, total=30
[WARN] [1777715196.541752313] [data_collector]: Intimate space violation (<0.45m) +1, total=30
[WARN] [1777715201.218870440] [data_collector]: Personal space violation (<1.20m) +1, total=34
[INFO] [1777715201.842507589] [data_collector]: Encounter (<1.0m) +1, total=31
[WARN] [1777715202.887696505] [data_collector]: Personal space violation (<1.20m) +1, total=35
[INFO] [1777715203.291960149] [data_collector]: Encounter (<1.0m) +1, total=32
[WARN] [1777715203.507365353] [data_collector]: Intimate space violation (<0.45m) +1, total=31
[WARN] [1777715204.150463370] [data_collector]: Intimate space violation (<0.45m) +1, total=32
[WARN] [1777715212.468077992] [data_collector]: Personal space violation (<1.20m) +1, total=36
[INFO] [1777715212.799710063] [data_collector]: Encounter (<1.0m) +1, total=33
[WARN] [1777715213.752621904] [data_collector]: Intimate space violation (<0.45m) +1, total=33
[WARN] [1777715219.073253748] [data_collector]: Personal space violation (<1.20m) +1, total=37
[INFO] [1777715219.880242064] [data_collector]: Encounter (<1.0m) +1, total=34
[WARN] [1777715221.299842830] [data_collector]: Intimate space violation (<0.45m) +1, total=34
[WARN] [1777715230.531254626] [data_collector]: Personal space violation (<1.20m) +1, total=38
