[INFO] [1777750072.955033201] [data_collector]: DataCollector ready  mode=social_dstar  encounter=1.00m  personal=1.20m  intimate=0.45m
[INFO] [1777750072.955682817] [data_collector]: Results CSV: /home/dx/CPE631-Navigation-ROS2-main/social_4groups_headless_10.csv

Commands: [s] start  [e] end  [1] social  [2] baseline  [3] dynamic  [q] quit
cmd> [INFO] [1777750078.068436870] [data_collector]: Started experiment [social_dstar]
[WARN] [1777750399.802625004] [data_collector]: Personal space violation (<1.20m) +1, total=27
[INFO] [1777750399.895795400] [data_collector]: Encounter (<1.0m) +1, total=20
[WARN] [1777750401.414846068] [data_collector]: Intimate space violation (<0.45m) +1, total=27
[WARN] [1777750402.930114739] [data_collector]: Intimate space violation (<0.45m) +1, total=28
[WARN] [1777750416.382923185] [data_collector]: Personal space violation (<1.20m) +1, total=28
[INFO] [1777750416.493285473] [data_collector]: Encounter (<1.0m) +1, total=21
[WARN] [1777750417.588862562] [data_collector]: Intimate space violation (<0.45m) +1, total=29
[WARN] [1777750419.125382821] [data_collector]: Intimate space violation (<0.45m) +1, total=30
[WARN] [1777750432.930466076] [data_collector]: Personal space violation (<1.20m) +1, total=29
[INFO] [1777750433.254816134] [data_collector]: Encounter (<1.0m) +1, total=22
[WARN] [1777750434.460525734] [data_collector]: Intimate space violation (<0.45m) +1, total=31
[WARN] [1777750435.859383862] [data_collector]: Intimate space violation (<0.45m) +1, total=32
[WARN] [1777750449.633427764] [data_collector]: Personal space violation (<1.20m) +1, total=30
[INFO] [1777750449.931311278] [data_collector]: Encounter (<1.0m) +1, total=23
[WARN] [1777750450.946821222] [data_collector]: Intimate space violation (<0.45m) +1, total=33
[WARN] [1777750452.457131136] [data_collector]: Intimate space violation (<0.45m) +1, total=34
[WARN] [1777750465.102559636] [data_collector]: Personal space violation (<1.20m) +1, total=31
[INFO] [1777750465.317298757] [data_collector]: Encounter (<1.0m) +1, total=24
[WARN] [1777750466.913962509] [data_collector]: Intimate space violation (<0.45m) +1, total=35
[WARN] [1777750468.673152153] [data_collector]: Intimate space violation (<0.45m) +1, total=36
[WARN] [1777750483.338936900] [data_collector]: Personal space violation (<1.20m) +1, total=32
[INFO] [1777750483.641510202] [data_collector]: Encounter (<1.0m) +1, total=25
[WARN] [1777750485.111775566] [data_collector]: Intimate space violation (<0.45m) +1, total=37
[WARN] [1777750487.234892617] [data_collector]: Intimate space violation (<0.45m) +1, total=38
[WARN] [1777750501.612916731] [data_collector]: Personal space violation (<1.20m) +1, total=33
[INFO] [1777750502.128781415] [data_collector]: Encounter (<1.0m) +1, total=26
[WARN] [1777750503.410814016] [data_collector]: Intimate space violation (<0.45m) +1, total=39
[WARN] [1777750505.182435653] [data_collector]: Intimate space violation (<0.45m) +1, total=40
[WARN] [1777750520.702186859] [data_collector]: Personal space violation (<1.20m) +1, total=34
[INFO] [1777750520.924025347] [data_collector]: Encounter (<1.0m) +1, total=27
[WARN] [1777750522.081625145] [data_collector]: Intimate space violation (<0.45m) +1, total=41
[WARN] [1777750523.726359806] [data_collector]: Intimate space violation (<0.45m) +1, total=42
[WARN] [1777750538.126153444] [data_collector]: Personal space violation (<1.20m) +1, total=35
[INFO] [1777750538.426597280] [data_collector]: Encounter (<1.0m) +1, total=28
[WARN] [1777750540.016481131] [data_collector]: Intimate space violation (<0.45m) +1, total=43
[WARN] [1777750541.417115990] [data_collector]: Intimate space violation (<0.45m) +1, total=44
[WARN] [1777750554.412778956] [data_collector]: Personal space violation (<1.20m) +1, total=36
[INFO] [1777750554.620131391] [data_collector]: Encounter (<1.0m) +1, total=29
[WARN] [1777750555.830018895] [data_collector]: Intimate space violation (<0.45m) +1, total=45
[WARN] [1777750557.419282821] [data_collector]: Intimate space violation (<0.45m) +1, total=46
[WARN] [1777750571.910698565] [data_collector]: Personal space violation (<1.20m) +1, total=37
[INFO] [1777750572.229980306] [data_collector]: Encounter (<1.0m) +1, total=30
[WARN] [1777750573.234896405] [data_collector]: Intimate space violation (<0.45m) +1, total=47
[WARN] [1777750574.961941051] [data_collector]: Intimate space violation (<0.45m) +1, total=48
[WARN] [1777750589.216647859] [data_collector]: Personal space violation (<1.20m) +1, total=38
[INFO] [1777750589.419887694] [data_collector]: Encounter (<1.0m) +1, total=31
[WARN] [1777750590.848442371] [data_collector]: Intimate space violation (<0.45m) +1, total=49
[WARN] [1777750592.186851682] [data_collector]: Intimate space violation (<0.45m) +1, total=50
[WARN] [1777750604.887655598] [data_collector]: Personal space violation (<1.20m) +1, total=39
[INFO] [1777750605.113702576] [data_collector]: Encounter (<1.0m) +1, total=32
[WARN] [1777750606.646773683] [data_collector]: Intimate space violation (<0.45m) +1, total=51
[WARN] [1777750608.095315729] [data_collector]: Intimate space violation (<0.45m) +1, total=52
[WARN] [1777750622.059258720] [data_collector]: Personal space violation (<1.20m) +1, total=40
[INFO] [1777750622.397644995] [data_collector]: Encounter (<1.0m) +1, total=33
[WARN] [1777750623.378504553] [data_collector]: Intimate space violation (<0.45m) +1, total=53
[INFO] [1777750623.838504513] [data_collector]: SIGUSR1: 读取 result_file → 'succeeded'
[INFO] [1777750623.838842131] [data_collector]: =======================================================
[INFO] [1777750623.839174362] [data_collector]: Experiment #3 result: succeeded
[INFO] [1777750623.839571320] [data_collector]:   Mode:                    social_dstar
[INFO] [1777750623.839892672] [data_collector]:   Attempt:                 0
[INFO] [1777750623.840513719] [data_collector]:   Path length:             37.55 m
[INFO] [1777750623.840850820] [data_collector]:   Navigation time:         403.79 s
[INFO] [1777750623.841646685] [data_collector]:   Encounters (<1.0m):      33
[INFO] [1777750623.842962800] [data_collector]:   Personal violations (<1.20m): 40
[INFO] [1777750623.843313194] [data_collector]:   Intimate violations (<0.45m): 53
[INFO] [1777750623.843780814] [data_collector]:   Min pedestrian dist:     0.036 m
[INFO] [1777750623.844409310] [data_collector]:   Mean angular accel:      0.1622 rad/s²
[INFO] [1777750623.844766895] [data_collector]: =======================================================
[INFO] [1777750623.846180430] [data_collector]: Saved to /home/dx/CPE631-Navigation-ROS2-main/social_4groups_headless_10.csv
[INFO] [1777750623.847043606] [data_collector]: exit_after_result=True, shutting down.
[INFO] [1777750623.851105229] [data_collector]: SIGUSR1: experiment was not active, shutting down.
