[INFO] [1777714093.544907881] [data_collector]: DataCollector ready  mode=dynamic  encounter=1.00m  personal=1.20m  intimate=0.45m
[INFO] [1777714093.545756196] [data_collector]: Results CSV: /home/dx/CPE631-Navigation-ROS2-main/dynamic_4groups_headless_10.csv

Commands: [s] start  [e] end  [1] social  [2] baseline  [3] dynamic  [q] quit
cmd> [INFO] [1777714098.690826858] [data_collector]: Started experiment [dynamic]
[WARN] [1777714380.845767152] [data_collector]: Personal space violation (<1.20m) +1, total=30
[INFO] [1777714381.136788995] [data_collector]: Encounter (<1.0m) +1, total=23
[WARN] [1777714382.758464652] [data_collector]: Intimate space violation (<0.45m) +1, total=21
[WARN] [1777714388.598510796] [data_collector]: Personal space violation (<1.20m) +1, total=31
[INFO] [1777714389.234424893] [data_collector]: Encounter (<1.0m) +1, total=24
[WARN] [1777714390.712501870] [data_collector]: Intimate space violation (<0.45m) +1, total=22
[WARN] [1777714399.994935121] [data_collector]: Personal space violation (<1.20m) +1, total=32
[INFO] [1777714400.590852468] [data_collector]: Encounter (<1.0m) +1, total=25
[WARN] [1777714401.809373500] [data_collector]: Intimate space violation (<0.45m) +1, total=23
[WARN] [1777714406.644856104] [data_collector]: Personal space violation (<1.20m) +1, total=33
[INFO] [1777714407.043312545] [data_collector]: Encounter (<1.0m) +1, total=26
[WARN] [1777714408.440819357] [data_collector]: Intimate space violation (<0.45m) +1, total=24
[WARN] [1777714417.627887207] [data_collector]: Personal space violation (<1.20m) +1, total=34
[INFO] [1777714418.233584615] [data_collector]: Encounter (<1.0m) +1, total=27
[WARN] [1777714419.642115033] [data_collector]: Intimate space violation (<0.45m) +1, total=25
[WARN] [1777714424.964004846] [data_collector]: Personal space violation (<1.20m) +1, total=35
[INFO] [1777714425.559806576] [data_collector]: Encounter (<1.0m) +1, total=28
[WARN] [1777714427.195554707] [data_collector]: Intimate space violation (<0.45m) +1, total=26
[WARN] [1777714435.776887315] [data_collector]: Personal space violation (<1.20m) +1, total=36
[INFO] [1777714436.147517314] [data_collector]: Encounter (<1.0m) +1, total=29
[WARN] [1777714437.541727768] [data_collector]: Intimate space violation (<0.45m) +1, total=27
[WARN] [1777714443.478076567] [data_collector]: Personal space violation (<1.20m) +1, total=37
[INFO] [1777714443.870741770] [data_collector]: Encounter (<1.0m) +1, total=30
[WARN] [1777714444.399078223] [data_collector]: Personal space violation (<1.20m) +1, total=38
[INFO] [1777714444.773433714] [data_collector]: Encounter (<1.0m) +1, total=31
[WARN] [1777714445.074851632] [data_collector]: Intimate space violation (<0.45m) +1, total=28
[WARN] [1777714446.269579024] [data_collector]: Intimate space violation (<0.45m) +1, total=29
[WARN] [1777714454.880740823] [data_collector]: Personal space violation (<1.20m) +1, total=39
[INFO] [1777714455.601966563] [data_collector]: Encounter (<1.0m) +1, total=32
[WARN] [1777714457.140460307] [data_collector]: Intimate space violation (<0.45m) +1, total=30
[WARN] [1777714462.137991159] [data_collector]: Personal space violation (<1.20m) +1, total=40
[INFO] [1777714462.706423493] [data_collector]: Encounter (<1.0m) +1, total=33
[WARN] [1777714463.863300237] [data_collector]: Intimate space violation (<0.45m) +1, total=31
[WARN] [1777714472.955904090] [data_collector]: Personal space violation (<1.20m) +1, total=41
[INFO] [1777714473.342408247] [data_collector]: Encounter (<1.0m) +1, total=34
[WARN] [1777714474.808678585] [data_collector]: Intimate space violation (<0.45m) +1, total=32
[WARN] [1777714480.177717166] [data_collector]: Personal space violation (<1.20m) +1, total=42
[INFO] [1777714480.671126395] [data_collector]: Encounter (<1.0m) +1, total=35
[WARN] [1777714481.751579671] [data_collector]: Intimate space violation (<0.45m) +1, total=33
[WARN] [1777714491.220028610] [data_collector]: Personal space violation (<1.20m) +1, total=43
[INFO] [1777714491.602632149] [data_collector]: Encounter (<1.0m) +1, total=36
[WARN] [1777714493.137311685] [data_collector]: Intimate space violation (<0.45m) +1, total=34
[WARN] [1777714498.583627439] [data_collector]: Personal space violation (<1.20m) +1, total=44
[INFO] [1777714499.178607490] [data_collector]: Encounter (<1.0m) +1, total=37
[WARN] [1777714500.543540778] [data_collector]: Intimate space violation (<0.45m) +1, total=35
[WARN] [1777714509.344616003] [data_collector]: Personal space violation (<1.20m) +1, total=45
[INFO] [1777714509.740898979] [data_collector]: Encounter (<1.0m) +1, total=38
[WARN] [1777714511.501941834] [data_collector]: Intimate space violation (<0.45m) +1, total=36
[WARN] [1777714513.626787462] [data_collector]: Personal space violation (<1.20m) +1, total=46
[WARN] [1777714516.271369719] [data_collector]: Personal space violation (<1.20m) +1, total=47
[INFO] [1777714516.870294248] [data_collector]: Encounter (<1.0m) +1, total=39
[WARN] [1777714518.366042996] [data_collector]: Intimate space violation (<0.45m) +1, total=37
[WARN] [1777714528.150554820] [data_collector]: Personal space violation (<1.20m) +1, total=48
[INFO] [1777714528.738615765] [data_collector]: Encounter (<1.0m) +1, total=40
[WARN] [1777714530.714771425] [data_collector]: Intimate space violation (<0.45m) +1, total=38
[WARN] [1777714548.834901524] [data_collector]: Personal space violation (<1.20m) +1, total=49
[WARN] [1777714556.568477079] [data_collector]: Personal space violation (<1.20m) +1, total=50
[WARN] [1777714564.821009323] [data_collector]: Personal space violation (<1.20m) +2, total=52
[INFO] [1777714565.580131524] [data_collector]: Encounter (<1.0m) +1, total=41
[INFO] [1777714567.733065631] [data_collector]: Encounter (<1.0m) +1, total=42
[WARN] [1777714568.792732588] [data_collector]: Intimate space violation (<0.45m) +1, total=39
[WARN] [1777714573.895881763] [data_collector]: Personal space violation (<1.20m) +1, total=53
[INFO] [1777714574.573786911] [data_collector]: Encounter (<1.0m) +1, total=43
[WARN] [1777714580.145765004] [data_collector]: Personal space violation (<1.20m) +1, total=54
[WARN] [1777714584.088983891] [data_collector]: Personal space violation (<1.20m) +1, total=55
[INFO] [1777714584.558589372] [data_collector]: Encounter (<1.0m) +1, total=44
[WARN] [1777714590.177790254] [data_collector]: Personal space violation (<1.20m) +1, total=56
[WARN] [1777714596.404805428] [data_collector]: Personal space violation (<1.20m) +1, total=57
[WARN] [1777714606.155770999] [data_collector]: Personal space violation (<1.20m) +1, total=58
[WARN] [1777714612.341677300] [data_collector]: Personal space violation (<1.20m) +1, total=59
[WARN] [1777714622.892371937] [data_collector]: Personal space violation (<1.20m) +1, total=60
[WARN] [1777714628.433879420] [data_collector]: Personal space violation (<1.20m) +1, total=61
[WARN] [1777714638.338324609] [data_collector]: Personal space violation (<1.20m) +1, total=62
[WARN] [1777714644.015884526] [data_collector]: Personal space violation (<1.20m) +1, total=63
[WARN] [1777714654.442425367] [data_collector]: Personal space violation (<1.20m) +1, total=64
[WARN] [1777714660.174877034] [data_collector]: Personal space violation (<1.20m) +1, total=65
[WARN] [1777714671.111006891] [data_collector]: Personal space violation (<1.20m) +1, total=66
[WARN] [1777714677.125531038] [data_collector]: Personal space violation (<1.20m) +1, total=67
[WARN] [1777714686.946973516] [data_collector]: Personal space violation (<1.20m) +1, total=68
[WARN] [1777714692.658570361] [data_collector]: Personal space violation (<1.20m) +1, total=69
[INFO] [1777714700.022411846] [data_collector]: SIGUSR1: 读取 result_file → 'timeout'
[INFO] [1777714700.022846215] [data_collector]: =======================================================
[INFO] [1777714700.023168649] [data_collector]: Experiment #1 result: timeout
[INFO] [1777714700.024987797] [data_collector]:   Mode:                    dynamic
[INFO] [1777714700.025304136] [data_collector]:   Attempt:                 0
[INFO] [1777714700.025558089] [data_collector]:   Path length:             30.98 m
[INFO] [1777714700.027896846] [data_collector]:   Navigation time:         450.58 s
[INFO] [1777714700.028181490] [data_collector]:   Encounters (<1.0m):      44
[INFO] [1777714700.028445650] [data_collector]:   Personal violations (<1.20m): 69
[INFO] [1777714700.028705735] [data_collector]:   Intimate violations (<0.45m): 39
[INFO] [1777714700.028963555] [data_collector]:   Min pedestrian dist:     0.033 m
[INFO] [1777714700.029242371] [data_collector]:   Mean angular accel:      0.1546 rad/s²
[INFO] [1777714700.029567691] [data_collector]: =======================================================
[INFO] [1777714700.029965088] [data_collector]: Saved to /home/dx/CPE631-Navigation-ROS2-main/dynamic_4groups_headless_10.csv
[INFO] [1777714700.031643464] [data_collector]: exit_after_result=True, shutting down.
[INFO] [1777714700.034903893] [data_collector]: SIGUSR1: experiment was not active, shutting down.
