"experiment","mode","result","attempt","path_length_m","time_s","encounters","personal_violations","intimate_violations","min_ped_dist_m","mean_angular_acceleration","source"
"12","dynamic_astar","succeeded","0","36.254","95.13","7","11","4","0.336","0.2754","experiment_results_v3.csv"
"13","dynamic_astar","timeout","0","37.355","450.61","34","38","49","0.033","0.1406","experiment_results_v3.csv"
"14","dynamic_astar","succeeded","0","36.329","95.94","7","11","4","0.269","0.2456","experiment_results_v3.csv"
"15","dynamic_astar","aborted","0","28.21","91.52","10","13","6","0.024","0.3318","experiment_results_v3.csv"
"15","dynamic_astar","succeeded","1","36.431","99.67","6","10","3","0.305","0.2547","experiment_results_v3.csv"
"16","dynamic_astar","aborted","0","26.086","351.64","46","54","44","0.077","0.1114","experiment_results_v3.csv"
"16","dynamic_astar","succeeded","1","36.842","98.58","6","8","1","0.248","0.245","experiment_results_v3.csv"
"17","dynamic_astar","aborted","0","15.063","63.99","6","7","0","0.512","0.3368","experiment_results_v3.csv"
"17","dynamic_astar","succeeded","1","36.105","94.14","6","12","3","0.097","0.2371","experiment_results_v3.csv"
"18","dynamic_astar","aborted","0","16.482","58.26","4","6","3","0.157","0.3075","experiment_results_v3.csv"
"18","dynamic_astar","succeeded","1","36.601","99.28","6","10","2","0.221","0.2283","experiment_results_v3.csv"
"19","dynamic_astar","aborted","0","45.106","142.17","14","15","4","0.217","0.2291","experiment_results_v3.csv"
"19","dynamic_astar","succeeded","1","38.795","115.56","5","12","5","0.157","0.2137","experiment_results_v3.csv"
"20","dynamic_astar","succeeded","0","41.017","108.62","7","11","4","0.032","0.2497","experiment_results_v3.csv"
"1","dynamic_dstar","aborted","0","36.227","110.01","18","14","10","0.03","0.3599","dynamic_4groups_headless_10.csv"
"1","dynamic_dstar","aborted","1","35.246","292.97","15","15","6","0.028","0.1806","dynamic_4groups_headless_10.csv"
"1","dynamic_dstar","succeeded","2","43.055","395.23","34","59","28","0.047","0.1516","dynamic_4groups_headless_10.csv"
"2","dynamic_dstar","aborted","0","29.828","330.72","48","58","7","0.007","0.1378","dynamic_4groups_headless_10.csv"
"2","dynamic_dstar","aborted","1","39.004","385.56","34","41","30","0.061","0.1355","dynamic_4groups_headless_10.csv"
"2","dynamic_dstar","succeeded","2","37.578","97.23","8","13","4","0.106","0.2308","dynamic_4groups_headless_10.csv"
"3","dynamic_dstar","succeeded","0","38.949","114.56","9","9","5","0.169","0.1983","dynamic_4groups_headless_10.csv"
"4","dynamic_dstar","aborted","0","32.95","87.97","6","8","3","0.124","0.1743","dynamic_4groups_headless_10.csv"
"4","dynamic_dstar","succeeded","1","36.604","98.35","7","9","3","0.04","0.1627","dynamic_4groups_headless_10.csv"
"5","dynamic_dstar","succeeded","0","42.275","122.91","7","14","4","0.237","0.1555","dynamic_4groups_headless_10.csv"
"6","dynamic_dstar","succeeded","0","38.473","106.61","6","11","2","0.069","0.2128","dynamic_4groups_headless_10.csv"
"7","dynamic_dstar","aborted","0","38.529","350.03","16","21","8","0.108","0.1155","dynamic_4groups_headless_10.csv"
"7","dynamic_dstar","succeeded","1","37.958","99.87","5","7","3","0.05","0.1654","dynamic_4groups_headless_10.csv"
"8","dynamic_dstar","succeeded","0","36.785","95.98","6","13","2","0.013","0.1654","dynamic_4groups_headless_10.csv"
"9","dynamic_dstar","succeeded","0","36.841","99.38","8","10","3","0.07","0.1827","dynamic_4groups_headless_10.csv"
"10","dynamic_dstar","succeeded","0","36.714","98.58","7","9","4","0.034","0.1434","dynamic_4groups_headless_10.csv"
"11","dynamic_dstar","succeeded","0","36.625","95.84","10","14","3","0.077","0.2299","experiment_results_v3.csv"
"12","dynamic_dstar","succeeded","0","36.421","95.17","11","15","5","0.035","0.2249","experiment_results_v3.csv"
"13","dynamic_dstar","succeeded","0","36.495","93.92","9","11","2","0.287","0.2185","experiment_results_v3.csv"
