experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
5,social,succeeded,0,36.828,101.82,6,7,5,0.104,0.2857
1,social_astar,succeeded,0,36.158,103.54,6,18,7,0.124,0.2917
2,social_astar,succeeded,0,36.485,99.69,8,14,3,0.145,0.2851
3,social_astar,succeeded,0,36.32,99.83,7,13,3,0.297,0.2788
4,social_astar,succeeded,0,36.401,101.61,7,8,3,0.117,0.2637
5,social_astar,succeeded,0,36.633,148.58,16,18,11,0.106,0.236
1,social_smac,succeeded,0,37.535,95.33,8,13,4,0.158,0.505
2,social_smac,timeout,0,27.077,450.43,65,60,48,0.142,0.1824
3,social_smac,aborted,0,24.705,73.84,9,9,3,0.056,0.5427
3,social_smac,succeeded,1,37.697,99.36,7,10,5,0.09,0.3498
4,social_smac,aborted,0,50.283,236.14,10,18,5,0.026,0.312
4,social_smac,aborted,1,27.827,81.83,6,7,2,0.186,0.3933
4,social_smac,aborted,2,22.528,86.5,8,9,7,0.065,0.2582
1,social_smac,succeeded,0,45.455,148.48,16,18,3,0.051,0.4228
2,social_smac,succeeded,0,43.756,243.13,18,22,8,0.081,0.3187
1,social_dstar,succeeded,0,39.588,112.58,12,14,4,0.149,0.2549
2,social_dstar,succeeded,0,36.086,86.8,6,11,6,0.166,0.2478
3,social_dstar,succeeded,0,36.351,116.17,4,11,3,0.107,0.2346
4,social_dstar,succeeded,0,37.384,349.45,7,16,4,0.228,0.1367
5,social_dstar,succeeded,0,36.636,92.05,7,9,5,0.04,0.2505
1,baseline,succeeded,0,36.252,95.16,0,0,0,,0.2275
2,baseline,succeeded,0,36.476,95.31,0,0,0,,0.1991
1,social_dstar_plus,succeeded,0,36.273,88.17,8,9,3,0.02,0.3295
2,social_dstar_plus,succeeded,0,36.132,89.55,7,10,4,0.069,0.2911
1,social_dstar_plus,succeeded,0,36.247,89.76,7,9,4,0.018,0.312
2,social_dstar_plus,succeeded,0,36.507,87.47,9,9,1,0.096,0.3257
1,social_dstar_plus,timeout,0,50.296,450.59,27,31,14,0.042,0.2241
2,social_dstar_plus,succeeded,0,36.484,96.22,8,14,1,0.062,0.2432
3,social_dstar_plus,succeeded,0,51.481,395.27,42,47,6,0.037,0.1888
4,social_dstar_plus,succeeded,0,36.478,104.87,7,11,2,0.168,0.2214
5,social_dstar_plus,succeeded,0,37.084,101.03,6,8,2,0.296,0.2512
6,social_dstar_plus,succeeded,0,37.958,100.66,6,9,3,0.231,0.2428
7,social_dstar_plus,succeeded,0,43.291,110.62,8,10,2,0.332,0.2308
8,social_dstar_plus,succeeded,0,38.878,100.46,6,8,0,0.505,0.204
9,social_dstar_plus,succeeded,0,36.655,106.35,6,11,2,0.331,0.1989
10,social_dstar_plus,succeeded,0,36.634,101.84,7,8,5,0.227,0.2212
11,social_dstar_plus,succeeded,0,36.79,101.06,6,8,1,0.366,0.2506
12,social_dstar_plus,succeeded,0,41.725,114.55,7,10,2,0.042,0.2194
13,social_dstar_plus,succeeded,0,38.299,101.88,6,8,2,0.252,0.2002
14,social_dstar_plus,aborted,0,28.061,71.77,8,11,4,0.001,0.2467
14,social_dstar_plus,succeeded,1,36.388,102.65,6,12,4,0.031,0.2358
15,social_dstar_plus,aborted,0,30.84,389.31,33,48,43,0.065,0.1449
15,social_dstar_plus,succeeded,1,37.012,99.77,6,12,3,0.085,0.2018
16,social_dstar_plus,succeeded,0,36.92,101.17,7,8,2,0.21,0.2064
