experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration,actual_rtf,time_wall_actual_s,time_wall_actual_min
7,social_dstar,succeeded,0,32.495,85.11,9,10,6,0.23,0.2006,0.951,89.50,1.49
8,social_dstar,succeeded,0,33.213,135.16,13,20,4,0.074,0.1958,0.951,142.12,2.37
9,social_dstar,succeeded,0,32.305,126.14,10,16,7,0.126,0.1963,0.951,132.64,2.21
10,social_dstar,succeeded,0,32.61,100.39,6,8,1,0.39,0.2264,0.951,105.56,1.76
11,social_dstar,succeeded,0,33.14,94.32,11,12,5,0.166,0.2071,0.951,99.18,1.65
12,social_dstar,succeeded,0,33.169,127.11,11,15,5,0.03,0.1788,0.951,133.66,2.23
13,social_dstar,aborted,0,23.901,73.53,7,10,5,0.33,0.2886,0.951,77.32,1.29
13,social_dstar,succeeded,1,39.325,101.03,6,11,3,0.054,0.1932,0.951,106.24,1.77
14,social_dstar,succeeded,0,32.735,116.24,9,12,7,0.09,0.1596,0.951,122.23,2.04
15,social_dstar,succeeded,0,32.43,80.72,6,7,0,0.487,0.1675,0.951,84.88,1.41
16,social_dstar,succeeded,0,33.09,92.49,9,10,6,0.061,0.1935,0.951,97.26,1.62
17,social_dstar,succeeded,0,32.495,79.81,4,8,1,0.389,0.1595,0.951,83.92,1.40
18,social_dstar,aborted,0,38.196,160.58,9,12,5,0.248,0.1544,0.951,168.85,2.81
18,social_dstar,succeeded,1,36.364,92.68,9,11,2,0.067,0.1851,0.951,97.46,1.62
19,social_dstar,succeeded,0,32.617,81.12,6,7,0,0.473,0.1677,0.951,85.30,1.42
20,social_dstar,succeeded,0,32.843,89.85,7,11,17,0.275,0.1984,0.951,94.48,1.57
21,social_dstar,succeeded,0,32.455,100.84,7,11,6,0.063,0.1698,0.951,106.04,1.77
22,social_dstar,succeeded,0,32.895,82.17,7,8,2,0.283,0.1847,0.951,86.40,1.44
23,social_dstar,succeeded,0,33.86,99.29,6,8,6,0.085,0.2121,0.951,104.41,1.74
24,social_dstar,succeeded,0,32.679,102.74,8,14,6,0.063,0.1845,0.951,108.03,1.80
25,social_dstar,timeout,0,26.038,297.81,15,53,6,0.128,0.1156,0.951,313.15,5.22
1,social_smac,succeeded,0,38.337,105.75,8,14,4,0.083,0.4157,1.000,105.75,1.76
2,social_smac,succeeded,0,34.211,162.39,16,18,12,0.062,0.2843,1.000,162.39,2.71
3,social_smac,succeeded,0,43.144,134.87,8,12,5,0.07,0.3488,1.000,134.87,2.25
4,social_smac,aborted,0,3.513,13.98,0,3,0,1.092,0.9807,1.000,13.98,0.23
4,social_smac,aborted,1,40.103,112.01,9,12,0,0.581,0.3708,1.000,112.01,1.87
5,social_smac,aborted,0,8.237,20.23,0,0,0,1.723,0.4841,1.000,20.23,0.34
5,social_smac,aborted,1,27.041,250.34,6,36,1,0.31,0.1681,1.000,250.34,4.17
6,social_smac,succeeded,0,48.545,114.66,9,13,6,0.109,0.2582,1.000,114.66,1.91
7,social_smac,succeeded,0,41.799,296.28,25,33,17,0.196,0.2137,1.000,296.28,4.94
8,social_smac,aborted,0,43.434,456.06,9,10,9,0.063,0.155,1.000,456.06,7.60
8,social_smac,succeeded,1,37.364,100.07,5,8,4,0.044,0.3184,1.000,100.07,1.67
9,social_smac,succeeded,0,44.192,218.89,22,23,18,0.051,0.268,1.000,218.89,3.65
10,social_smac,succeeded,0,33.231,90.77,5,9,1,0.316,0.2866,1.000,90.77,1.51
11,social_smac,succeeded,0,39.06,108.81,6,7,4,0.043,0.2954,1.000,108.81,1.81
12,social_smac,aborted,0,3.727,392.94,1,2,1,0.347,0.0909,1.000,392.94,6.55
12,social_smac,succeeded,1,50.417,171.71,17,18,2,0.33,0.2971,1.000,171.71,2.86
13,social_smac,aborted,0,2.77,12.43,1,2,0,0.455,0.3086,1.000,12.43,0.21
13,social_smac,aborted,1,40.244,111.12,9,13,4,0.025,0.326,1.000,111.12,1.85
14,social_smac,aborted,0,8.851,298.09,6,12,1,0.044,0.1536,1.000,298.09,4.97
14,social_smac,succeeded,1,42.903,134.52,11,12,4,0.254,0.3427,1.000,134.52,2.24
15,social_smac,succeeded,0,38.25,365.09,30,36,27,0.007,0.1488,1.000,365.09,6.08
16,social_smac,aborted,0,24.548,76.05,7,7,1,0.1,0.2483,1.000,76.05,1.27
16,social_smac,succeeded,1,40.415,151.29,8,8,2,0.187,0.3195,1.000,151.29,2.52
17,social_smac,aborted,0,3.668,80.09,1,1,0,0.574,0.0952,1.000,80.09,1.33
17,social_smac,succeeded,1,37.61,94.81,11,17,3,0.103,0.3086,1.000,94.81,1.58
18,social_smac,aborted,0,40.779,212.19,17,21,6,0.07,0.3405,1.000,212.19,3.54
18,social_smac,succeeded,1,39.983,131.98,12,15,9,0.074,0.2979,1.000,131.98,2.20
19,social_smac,succeeded,0,37.498,139.55,14,20,6,0.095,0.2186,1.000,139.55,2.33
20,social_smac,timeout,0,13.709,456.67,45,49,5,0.049,0.1009,1.000,456.67,7.61
21,social_smac,aborted,0,56.272,188.96,15,20,5,0.053,0.2822,1.000,188.96,3.15
21,social_smac,succeeded,1,39.492,105.93,6,10,1,0.277,0.2653,1.000,105.93,1.77
22,social_smac,aborted,0,16.959,110.41,8,13,7,0.044,0.2714,1.000,110.41,1.84
22,social_smac,succeeded,1,42.668,122.89,9,10,3,0.243,0.3147,1.000,122.89,2.05
23,social_smac,aborted,0,12.404,73.3,7,7,5,0.217,0.1391,1.000,73.30,1.22
23,social_smac,succeeded,1,37.372,99.84,5,8,2,0.143,0.2738,1.000,99.84,1.66
24,social_smac,aborted,0,37.418,140.86,15,15,3,0.404,0.2734,1.000,140.86,2.35
24,social_smac,timeout,1,17.933,500.92,1,1,1,0.274,0.0942,1.000,500.92,8.35
25,social_smac,aborted,0,41.15,153.68,4,8,3,0.039,0.3111,1.000,153.68,2.56
25,social_smac,aborted,1,40.418,105.82,5,9,1,0.302,0.2706,1.000,105.82,1.76
