experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration,source
1,dynamic_dstar,aborted,1,35.246,292.97,15,15,6,0.028,0.1806,dynamic_4groups_headless_10.csv
1,dynamic_dstar,succeeded,2,43.055,395.23,34,59,28,0.047,0.1516,dynamic_4groups_headless_10.csv
2,dynamic_dstar,aborted,0,29.828,330.72,48,58,7,0.007,0.1378,dynamic_4groups_headless_10.csv
2,dynamic_dstar,aborted,1,39.004,385.56,34,41,30,0.061,0.1355,dynamic_4groups_headless_10.csv
2,dynamic_dstar,succeeded,2,37.578,97.23,8,13,4,0.106,0.2308,dynamic_4groups_headless_10.csv
3,dynamic_dstar,succeeded,0,38.949,114.56,9,9,5,0.169,0.1983,dynamic_4groups_headless_10.csv
4,dynamic_dstar,aborted,0,32.95,87.97,6,8,3,0.124,0.1743,dynamic_4groups_headless_10.csv
4,dynamic_dstar,succeeded,1,36.604,98.35,7,9,3,0.04,0.1627,dynamic_4groups_headless_10.csv
5,dynamic_dstar,succeeded,0,42.275,122.91,7,14,4,0.237,0.1555,dynamic_4groups_headless_10.csv
6,dynamic_dstar,succeeded,0,38.473,106.61,6,11,2,0.069,0.2128,dynamic_4groups_headless_10.csv
7,dynamic_dstar,aborted,0,38.529,350.03,16,21,8,0.108,0.1155,dynamic_4groups_headless_10.csv
7,dynamic_dstar,succeeded,1,37.958,99.87,5,7,3,0.05,0.1654,dynamic_4groups_headless_10.csv
8,dynamic_dstar,succeeded,0,36.785,95.98,6,13,2,0.013,0.1654,dynamic_4groups_headless_10.csv
9,dynamic_dstar,succeeded,0,36.841,99.38,8,10,3,0.07,0.1827,dynamic_4groups_headless_10.csv
10,dynamic_dstar,succeeded,0,36.714,98.58,7,9,4,0.034,0.1434,dynamic_4groups_headless_10.csv
1,social,succeeded,0,40.047,131.86,7,12,3,0.187,0.2422,social_4groups_headless_10.csv
2,social,succeeded,0,36.346,95.42,8,14,7,0.02,0.2699,social_4groups_headless_10.csv
3,social,succeeded,0,36.512,102.2,7,7,1,0.157,0.3071,social_4groups_headless_10.csv
4,social,succeeded,0,36.911,102.73,9,13,1,0.172,0.2465,social_4groups_headless_10.csv
5,social,succeeded,0,36.195,101.64,8,8,6,0.126,0.2413,social_4groups_headless_10.csv
6,social,succeeded,0,36.219,95.52,8,16,6,0.045,0.2558,social_4groups_headless_10.csv
7,social,succeeded,0,39.239,131.49,8,14,3,0.263,0.2236,social_4groups_headless_10.csv
8,social,succeeded,0,36.467,99.64,6,8,0,0.508,0.2699,social_4groups_headless_10.csv
9,social,aborted,0,32.003,363.7,14,13,7,0.094,0.1509,social_4groups_headless_10.csv
9,social,succeeded,1,36.657,102.55,10,8,4,0.014,0.2278,social_4groups_headless_10.csv
10,social,succeeded,0,36.315,102.99,6,9,3,0.25,0.2102,social_4groups_headless_10.csv
1,social_astar,aborted,0,30.041,84.56,6,12,1,0.185,0.3766,social_4groups_headless_10.csv
1,social_astar,aborted,1,17.534,367.04,2,7,1,0.322,0.1457,social_4groups_headless_10.csv
1,social_astar,succeeded,2,38.395,104.09,9,7,3,0.075,0.2595,social_4groups_headless_10.csv
2,social_astar,succeeded,0,39.261,114.92,9,17,6,0.136,0.3063,social_4groups_headless_10.csv
3,social_astar,succeeded,0,36.137,114.85,9,10,5,0.042,0.2268,social_4groups_headless_10.csv
4,social_astar,succeeded,0,36.241,172.16,20,23,14,0.015,0.2261,social_4groups_headless_10.csv
5,social_astar,succeeded,0,36.218,99.17,7,13,2,0.292,0.2506,social_4groups_headless_10.csv
6,social_astar,aborted,0,17.172,57.43,4,5,1,0.168,0.3364,social_4groups_headless_10.csv
6,social_astar,succeeded,1,36.423,114.77,10,10,6,0.258,0.2039,social_4groups_headless_10.csv
7,social_astar,succeeded,0,36.276,123.07,12,14,5,0.264,0.2217,social_4groups_headless_10.csv
8,social_astar,aborted,0,24.956,73.45,7,8,4,0.024,0.3047,social_4groups_headless_10.csv
8,social_astar,succeeded,1,38.061,104.17,8,11,4,0.282,0.2063,social_4groups_headless_10.csv
